Date,Store,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
2015-01-01,39,1,58494.2,27.62,2.63,215.15,4.9,0
2015-01-02,29,3,65213.99,25.78,3.15,202.85,6.53,0
2015-01-03,15,18,53384.09,28.8,2.04,255.46,6.85,0
2015-01-04,43,9,26030.85,23.99,4.71,246.62,8.96,0
2015-01-05,8,14,59532.97,6.46,2.31,230.63,7.92,0
2015-01-06,21,17,47868.02,2.46,3.07,246.88,4.67,0
2015-01-07,39,14,33462.76,32.69,4.53,268.35,3.27,0
2015-01-08,19,4,55195.9,8.63,4.38,210.9,9.45,0
2015-01-09,23,5,67007.59,21.7,4.52,225.57,7.54,0
2015-01-10,11,17,50100.78,19.41,4.74,279.5,6.26,0
2015-01-11,11,2,63849.99,36.84,4.73,267.01,5.56,0
2015-01-12,24,5,56935.94,22.1,4.31,226.63,10.41,1
2015-01-13,36,4,57129.56,23.2,3.75,239.82,10.16,0
2015-01-14,40,4,45417.7,12.78,3.68,211.97,10.43,0
2015-01-15,24,6,62280.45,38.35,2.04,225.31,4.97,0
2015-01-16,3,13,63712.68,24.49,4.17,284.12,10.67,0
2015-01-17,22,5,61890.02,0.2,2.68,244.04,11.87,0
2015-01-18,2,7,45293.2,22.24,4.49,264.03,8.39,0
2015-01-19,24,1,64776.2,14.55,3.66,215.97,3.42,0
2015-01-20,44,14,55794.72,1.28,4.96,218.33,9.32,0
2015-01-21,30,4,35415.12,17.26,2.63,294.09,7.84,0
2015-01-22,38,17,44277.62,30.94,4.17,284.14,9.41,0
2015-01-23,2,14,42043.87,20.15,3.64,279.03,4.69,1
2015-01-24,21,16,20181.55,25.58,4.8,232.96,8.45,0
2015-01-25,33,14,65051.2,25.59,2.8,256.28,7.85,0
2015-01-26,12,16,96517.8,26.84,2.18,249.23,8.42,0
2015-01-27,22,8,68125.22,15.5,3.63,295.62,9.55,0
2015-01-28,44,3,52442.89,14.8,3.56,223.96,7.9,0
2015-01-29,25,19,42262.72,0.18,2.94,294.72,5.9,0
2015-01-30,49,1,36123.74,6.17,4.96,270.69,5.78,0
2015-01-31,27,2,52259.68,38.03,2.21,241.37,9.26,1
2015-02-01,42,15,64524.6,33.7,3.71,226.64,8.97,0
2015-02-02,28,10,39881.26,11.0,2.78,275.74,6.8,1
2015-02-03,16,18,88463.9,16.05,2.01,282.29,6.18,0
2015-02-04,15,14,29240.1,37.6,4.96,235.75,8.58,0
2015-02-05,47,17,53367.47,10.02,3.44,217.19,5.81,0
2015-02-06,44,13,51054.42,21.3,4.57,249.22,11.67,0
2015-02-07,3,1,50099.4,0.88,4.52,246.85,8.37,0
